name,rating,review_count,category,address,phone,status,starting_point,distance,distance_unit,time_req,location_url
Sivadam School Of Dance & Music,4.3,12,School house,"Palath, Canal Rd, near Siva Vishnu Temple, Kozhikode, Kerala 673616",N/A,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",16.2,29 min,https://maps.app.goo.gl/pzfxMBFz6odvsSJe8
99 Moves Dance Studio,4.9,53,Dance school,"KVS Building, Junction, Thondayad, Kozhikode, Kerala 673017",081298 73707,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",16.7,28 min,https://maps.app.goo.gl/5enFws9W9q1qNkvn7
Nupura Dance Studio,N/A,N/A,Fitness center,"Hiba Tower, Kunjan Padi, Kuttooli, Areekode, Kerala 673639",095679 73669,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",17.5,26 min,https://maps.app.goo.gl/hKPCy58DdNNz4ohQ8
SreeKalalayam Dance school,5.0,2,Education center,"8RQ6+C73, Ambalathukulangara, Kerala 673616",N/A,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",18.1,33 min,https://maps.app.goo.gl/vpFuaRnAdDmbj6e89
AG (Artistic Groove) Dance & Fitness,4.9,113,Dance school,"4th floor, Global Tower, Mavoor Rd, near VZONE BUILDING, Parayancheri, Kottooli, Kozhikode, Kerala 673016",081119 22483,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",18.6,32 min,https://maps.app.goo.gl/7aevXQpBgijdJPPX9
P School Of Dance And Fitness,4.7,79,Dance school,"Kottaram tower, Kottaram Rd, Eranhipaalam, East Nadakkave, post, Kozhikode, Kerala 673006",081118 28211,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",19.8,36 min,https://maps.app.goo.gl/5c9j7ak97FaWbfYe6
Aswathi's Classical Gems,4.9,138,Art school,"2nd Floor, Mini Mansion, Jaffer Khan Colony Rd, Near Planetorium, Kozhikode, Kerala 673006",096332 55593,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",20.0,37 min,https://maps.app.goo.gl/6hiePr52PjFwL4cE7
Pianoforte music dance academy,5.0,1,Music school,"Mavoor Rd, Arayidathupalam, Kozhikode, Kerala 673004",090721 23450,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",20.1,37 min,https://maps.app.goo.gl/mCFoqdnP6JTYb4FY9
DK DANCE COMPANY,4.3,4,Dance school,"8Q5M+C35, Kunduparampa, Kozhikode, Kerala 673010",099952 72083,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",20.7,33 min,https://maps.app.goo.gl/mdkGKF2YPDkf3ixJ6
Nrityalaya - School for Classical Dance and Music (Chalappuram),5.0,17,Dance school,"19/342, Chalappuram, Kozhikode, Kerala 673002",098401 41520,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",20.9,38 min,https://maps.app.goo.gl/1T4hCytD3eACLtbW7
Niza's Dance Company,5.0,31,Dance company,"Pearl bay arcade, YMCA Cross Rd, near CDA, Kozhikode, Kerala 673001",090613 09219,Closes soon,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",21.1,38 min,https://maps.app.goo.gl/pjhqKo4or777XpKU9
Fit on beatz,5.0,73,Dance school,"3rd Floor, Holiday City Centre, old kfc Building, Bank Rd, opposite KurishuPally, Mavoor Road Junction, Tazhekkod, Kozhikode, Kerala 673001",097464 44204,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",21.1,38 min,https://maps.app.goo.gl/TqrSwtsTQHWFas678
Jobz & Sabz Academy Of Dance,4.7,25,Dance school,"Beach Complex, Silk St, near beach post office, Mananchira, Kozhikode, Kerala 673032",080759 92437,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",22.5,44 min,https://maps.app.goo.gl/GF1SmNNqcFNKB4KW9
